Avais-tu le droit d'utiliser des intelligences artificielles pour t'aider pendant ton stage ?
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Non
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Non
Oui
Oui
Oui
Oui
Oui
Oui
Oui
Oui
